sl_no,tahsil_name,junior_basic_villages,junior_basic_schools,senior_basic_villages,senior_basic_schools,higher_secondary_villages,higher_secondary_schools,college_villages,colleges,other_edu_villages,other_edu_institutions,hospital_villages,hospitals,dispensary_villages,dispensaries,mcw_villages,mcw_centres,health_centre_villages,health_centres,family_planning_villages,family_planning_centres,other_med_villages,other_med_institutions,power_available_villages,power_not_available_villages,tap_water_villages,hand_pipe_villages,well_villages,tank_villages,river_villages,fountain_villages,canal_villages,water_fall_villages,lake_villages,tube_well_villages,other_water_villages,no_water_villages,pucca_road_villages,kachcha_road_villages,pucca_kachcha_road_villages,other_road_villages,post_office_villages,post_offices,telegraph_office_villages,telegraph_offices,post_telegraph_villages,post_telegraph_offices,telephone_villages,telephones,vertical_distance,is_aligned,row_type,district,format_id,source_pdf,extraction_timestamp
11,Agra (M.C.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0112,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
12,Dayalbagh (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0163,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
13,Fatehpur Sikri (M.B.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0056,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
14,Kheragarh (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0164,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
15,Bah (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,,,,,,,,,,,,,30,35,40,45,50,55,60,65,70,75,80,85,90,95,,,,,,,,,,,,,1.0,False,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
16,Agra (M.C.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0567,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
17,Dayalbagh (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0138,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
18,Fatehpur Sikri (M.B.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0061,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
19,Kheragarh (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0045,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
20,Bah (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0053,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
21,Agra (M.C.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0032,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
22,Dayalbagh (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0037,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
23,Fatehpur Sikri (M.B.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0029,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
24,Kheragarh (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,Tube-well,50000,Yes,1200,450,300,150,50,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,30,35,40,45,50,55,60,65,70,75,80,85,0.0128,True,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
25,Bah (T.A.),12.50,Open Drain,150,45,10,Manual,10,15,20,25,,,,,,,,,,,,,30,35,40,45,50,55,60,65,70,75,80,85,90,95,,,,,,,,,,,,,1.0,False,ORDINARY,Agra,format_003,agra_tehsil_1971.pdf,2026-08-20T15:47:34.878872
