state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
West Bengal,Bankura,civic_amenities,Trimmed,1981/West Bengal/1981 Bankura.pdf,1981 Bankura.pdf,Village/Town Directory volume,English or bilingual,"[644, 645]","[null, ""1979""]",output/pdf/1981_trimmed/West Bengal/civic amenities/1981_Bankura_civic_amenities.pdf,Statement IV; source page 646 begins Statement IV-A.,"[""manual_verified""]"
West Bengal,Midnapore,tehsil_appendix,Trimmed,1981/West Bengal/1981 Midnapore.pdf,1981 Midnapore.pdf,Village/Town Directory volume,English or bilingual,"[1532, 1533, 1534, 1535]","[""1516"", null, null, null]",output/pdf/1981_trimmed/West Bengal/tehsil appendix/1981_Midnapore_tehsil_appendix.pdf,Appendix I Village Police Station-wise abstract; source page 1536 begins Appendix II.,"[""manual_verified""]"
West Bengal,Murshidabad,civic_amenities,Not trimmed,1981/West Bengal/1981 Murshidabad.pdf,1981 Murshidabad.pdf,PCA-only / non-directory volume,English or bilingual,[],[],,Part XIII-B Village & Town-wise Primary Census Abstract volume; contents show no Town Directory or Statement IV.,"[""manual_absent_or_ineligible""]"
West Bengal,Murshidabad,medical_educational_amenities,Not trimmed,1981/West Bengal/1981 Murshidabad.pdf,1981 Murshidabad.pdf,PCA-only / non-directory volume,English or bilingual,[],[],,Part XIII-B Village & Town-wise Primary Census Abstract volume; contents show no Town Directory or Statement V.,"[""manual_absent_or_ineligible""]"
West Bengal,Murshidabad,tehsil_appendix,Not trimmed,1981/West Bengal/1981 Murshidabad.pdf,1981 Murshidabad.pdf,PCA-only / non-directory volume,English or bilingual,[],[],,Part XIII-B Village & Town-wise Primary Census Abstract volume; contents show no amenities appendix.,"[""manual_absent_or_ineligible""]"
West Bengal,Nadia,civic_amenities,Not trimmed,1981/West Bengal/1981 Nadia.pdf,1981 Nadia.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Nadia,medical_educational_amenities,Not trimmed,1981/West Bengal/1981 Nadia.pdf,1981 Nadia.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Nadia,tehsil_appendix,Not trimmed,1981/West Bengal/1981 Nadia.pdf,1981 Nadia.pdf,Part XIII-B primary census abstract,English or bilingual,[],[],,PCA-only volume; the requested town statements and amenities appendix are absent.,[]
West Bengal,Purullia,civic_amenities,Trimmed,1981/West Bengal/1981 Purullia.pdf,1981 Purullia.pdf,Village/Town Directory volume,English or bilingual,"[454, 455]","[""440"", ""441""]",output/pdf/1981_trimmed/West Bengal/civic amenities/1981_Purullia_civic_amenities.pdf,Statement IV; source page 456 begins Statement IV-A.,"[""manual_verified""]"
West Bengal,Purullia,medical_educational_amenities,Trimmed,1981/West Bengal/1981 Purullia.pdf,1981 Purullia.pdf,Village/Town Directory volume,English or bilingual,"[458, 459]","[""444"", ""445""]",output/pdf/1981_trimmed/West Bengal/mededu/1981_Purullia_medical_educational_amenities.pdf,Statement V; source page 460 begins Statement VI.,"[""manual_verified""]"
West Bengal,Purullia,tehsil_appendix,Trimmed,1981/West Bengal/1981 Purullia.pdf,1981 Purullia.pdf,Village/Town Directory volume,English or bilingual,"[362, 363, 364, 365]","[""343"", ""349"", ""350"", ""351""]",output/pdf/1981_trimmed/West Bengal/tehsil appendix/1981_Purullia_tehsil_appendix.pdf,Appendix I Village Police Station-wise abstract; source page 366 begins Appendix II.,"[""manual_verified""]"
West Bengal,Twenty Four Parganas,civic_amenities,Trimmed,1981/West Bengal/1981 Twenty Four Parganas.pdf,1981 Twenty Four Parganas.pdf,Village/Town Directory volume,English or bilingual,"[754, 755, 756, 757, 758, 759, 760, 761, 762, 763]","[""738"", null, ""740"", ""741"", ""141"", ""143"", ""744"", null, ""746"", ""747""]",output/pdf/1981_trimmed/West Bengal/civic amenities/1981_Twenty Four Parganas_civic_amenities.pdf,Statement IV; source page 764 begins Statement IV-A.,"[""manual_verified""]"
West Bengal,Twenty Four Parganas,medical_educational_amenities,Trimmed,1981/West Bengal/1981 Twenty Four Parganas.pdf,1981 Twenty Four Parganas.pdf,Village/Town Directory volume,English or bilingual,"[768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 778, 779, 780, 781]","[null, ""753"", ""714"", null, ""716"", null, ""758"", null, ""760"", null, ""762"", ""763"", null, ""765""]",output/pdf/1981_trimmed/West Bengal/mededu/1981_Twenty Four Parganas_medical_educational_amenities.pdf,Statement V including continuation pages through cultural facilities; source page 782 begins Statement VI.,"[""manual_verified""]"
West Bengal,Twenty Four Parganas,tehsil_appendix,Trimmed,1981/West Bengal/1981 Twenty Four Parganas.pdf,1981 Twenty Four Parganas.pdf,Village/Town Directory volume,English or bilingual,"[624, 625, 626, 627, 628, 629, 630, 631]","[""608"", ""609"", ""610"", ""611"", ""612"", null, null, ""615""]",output/pdf/1981_trimmed/West Bengal/tehsil appendix/1981_Twenty Four Parganas_tehsil_appendix.pdf,Appendix I Village Police Station-wise abstract in two four-page sections; source page 632 begins Appendix II.,"[""manual_verified""]"
