state,source_state_folder,district,table,table_label,status,source,reason
Gujarat,Gujarat,The Dangs,civic_amenities,Civic Amenities,Not trimmed,1971\Gujarat\39986_1971_TD.pdf,The district volume states that The Dangs is entirely rural with no town; the corresponding Statement IV/V town tables do not exist.
Gujarat,Gujarat,The Dangs,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Gujarat\39986_1971_TD.pdf,The district volume states that The Dangs is entirely rural with no town; the corresponding Statement IV/V town tables do not exist.
Gujarat,Gujarat,The Dangs,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Gujarat\39986_1971_TD.pdf,"The replacement Dangs source is the Gujarat Town Directory (Part VIA), not a district Part X-A/B Town/Village Directory volume; it states that The Dangs has no urban area and contains no district Statement IV/V or equivalent tehsil/taluk amenities appendix."
Haryana,Haryana,Gurgaon,civic_amenities,Civic Amenities,Not trimmed,1971\Haryana\1971 Gurgaon.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing Town Directory Statement IV."
Haryana,Haryana,Gurgaon,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Haryana\1971 Gurgaon.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing Town Directory Statement V."
Haryana,Haryana,Gurgaon,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Haryana\1971 Gurgaon.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing the tehsil/taluk amenities appendix."
Haryana,Haryana,Hisar,civic_amenities,Civic Amenities,Not trimmed,1971\Haryana\1971 Hisar.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing Town Directory Statement IV."
Haryana,Haryana,Hisar,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Haryana\1971 Hisar.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing Town Directory Statement V."
Haryana,Haryana,Hisar,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Haryana\1971 Hisar.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing the tehsil/taluk amenities appendix."
Haryana,Haryana,Jind,civic_amenities,Civic Amenities,Not trimmed,1971\Haryana\1971 Jind.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing Town Directory Statement IV."
Haryana,Haryana,Jind,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Haryana\1971 Jind.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing Town Directory Statement V."
Haryana,Haryana,Jind,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Haryana\1971 Jind.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing the tehsil/taluk amenities appendix."
Haryana,Haryana,Mahendragarh,civic_amenities,Civic Amenities,Not trimmed,1971\Haryana\1971 Mahendragarh.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing Town Directory Statement IV."
Haryana,Haryana,Mahendragarh,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Haryana\1971 Mahendragarh.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing Town Directory Statement V."
Haryana,Haryana,Mahendragarh,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Haryana\1971 Mahendragarh.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing the tehsil/taluk amenities appendix."
Haryana,Haryana,Rohtak,civic_amenities,Civic Amenities,Not trimmed,1971\Haryana\1971 Rohtak.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing Town Directory Statement IV."
Haryana,Haryana,Rohtak,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Haryana\1971 Rohtak.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing Town Directory Statement V."
Haryana,Haryana,Rohtak,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Haryana\1971 Rohtak.pdf,"The volume is Part X-C, District Census Tables, not the Part X-A Village and Town Directory volume containing the tehsil/taluk amenities appendix."
Kerala,Kerala,Ernakulam,civic_amenities,Civic Amenities,Not trimmed,1971\Kerala\1971 Ernakulam.pdf,Part X-C Census Tables volume; no Town and Village Directory Statement IV/V or Taluk-wise amenities abstract found.
Kerala,Kerala,Ernakulam,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Kerala\1971 Ernakulam.pdf,Part X-C Census Tables volume; no Town and Village Directory Statement IV/V or Taluk-wise amenities abstract found.
Kerala,Kerala,Ernakulam,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Kerala\1971 Ernakulam.pdf,Part X-C Census Tables volume; no Town and Village Directory Statement IV/V or Taluk-wise amenities abstract found.
Kerala,Kerala,Idikki,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Kerala\1971 Idikki.pdf,"The Idikki handbook contains Statement IV on source p. 22 and Statement V on source p. 23, but no separate taluk-wise aggregate amenities appendix; the Village Directory pages are per-village tables."
Maharashtra,Maharashtra,Ahmadnagar,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Ahmadnagar.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Akola,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Akola.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Amravati,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Amravati.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Aurangabad,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\44875_1971_AUR.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Bhandara,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Bhandara.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Bhir,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Bhir.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Buldana,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Buldana.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Chandrapur,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Chandrapur.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Dhulia,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Dhulia.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Greater Maharashtra,civic_amenities,Civic Amenities,Not trimmed,1971\Maharashtra\1971 Greater Maharashtra.pdf,"Greater Bombay primary census abstract volume, not a district Part X-A Town/Village Directory volume; the requested tables are absent."
Maharashtra,Maharashtra,Greater Maharashtra,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Maharashtra\1971 Greater Maharashtra.pdf,"Greater Bombay primary census abstract volume, not a district Part X-A Town/Village Directory volume; the requested tables are absent."
Maharashtra,Maharashtra,Greater Maharashtra,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Greater Maharashtra.pdf,"Greater Bombay primary census abstract volume, not a district Part X-A Town/Village Directory volume; the requested tables are absent."
Maharashtra,Maharashtra,Jalgaon,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Jalgaon.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Kolaba,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Kolaba.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Kolhapur,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Kolhapur.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Nagpur,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Nagpur.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Nanded,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Nanded.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Nasik,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Nasik.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Osmanabad,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Osmanabad.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Parbhani,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Parbhani.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Pune,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Pune.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Ratnagiri,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Ratnagiri.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Sangli,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Sangli.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Satara,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Satara.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Sholapur,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Sholapur.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Thane,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Thane.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Wardha,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Wardha.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Maharashtra,Maharashtra,Yavatmal,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Maharashtra\1971 Yavatmal.pdf,The previously generated Maharashtra tehsil-appendix output was removed after audit because its page span was incorrect; no replacement appendix is retained.
Manipur,Manipur,Manipur North,civic_amenities,Civic Amenities,Not trimmed,1971\Manipur\1971 Manipur North.pdf,No actual Town Directory Statement IV table is present in this volume; the Town Directory section contains only the abbreviation/key material before the Village Directory begins.
Manipur,Manipur,Manipur North,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Manipur\1971 Manipur North.pdf,No actual Town Directory Statement V table is present in this volume; the Town Directory section contains only the abbreviation/key material before the Village Directory begins.
Manipur,Manipur,Manipur West,civic_amenities,Civic Amenities,Not trimmed,1971\Manipur\1971 Manipur West.pdf,No actual Town Directory Statement IV table is present in this volume; the Town Directory section contains only the abbreviation/key material before the Village Directory begins.
Manipur,Manipur,Manipur West,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Manipur\1971 Manipur West.pdf,No actual Town Directory Statement V table is present in this volume; the Town Directory section contains only the abbreviation/key material before the Village Directory begins.
Meghalaya,Meghalaya,Garo Hills,civic_amenities,Civic Amenities,Not trimmed,1971\Meghalaya\1971 Garo Hills.pdf,"This is a Part X-C full-count census-tables volume, not the Part X-A Village and Town Directory volume; no relevant Statement IV, Statement V, or tehsil/taluk amenities abstract is present."
Meghalaya,Meghalaya,Garo Hills,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Meghalaya\1971 Garo Hills.pdf,"This is a Part X-C full-count census-tables volume, not the Part X-A Village and Town Directory volume; no relevant Statement IV, Statement V, or tehsil/taluk amenities abstract is present."
Meghalaya,Meghalaya,Garo Hills,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Meghalaya\1971 Garo Hills.pdf,"This is a Part X-C full-count census-tables volume, not the Part X-A Village and Town Directory volume; no relevant Statement IV, Statement V, or tehsil/taluk amenities abstract is present."
Nagaland,Nagaland,Kohima,civic_amenities,Civic Amenities,Not trimmed,1971\Nagaland\1971 Kohima.pdf,The Kohima volume is a Part X-B Village and Town Primary Census Abstract volume; its contents and directory pages contain no Town Directory Statement IV / Civic and Other Amenities table.
Nagaland,Nagaland,Kohima,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Nagaland\1971 Kohima.pdf,"The Kohima volume is a Part X-B Village and Town Primary Census Abstract volume; its contents and directory pages contain no Town Directory Statement V / Medical, Educational, Recreational and Cultural Facilities table."
Nagaland,Nagaland,Kohima,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Nagaland\1971 Kohima.pdf,The Kohima volume has no circle-wise/sub-division amenities abstract in the Village Directory section; its contents proceed from circle village abstracts to town primary census abstracts.
Nagaland,Nagaland,Tuensang,civic_amenities,Civic Amenities,Not trimmed,1971\Nagaland\1971 Tuensang.pdf,No Town Directory Statement IV table is present in this Part X-B volume; the relevant town-directory statements are absent.
Nagaland,Nagaland,Tuensang,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Nagaland\1971 Tuensang.pdf,No Town Directory Statement V table is present in this Part X-B volume; the relevant town-directory statements are absent.
Punjab,Punjab,Kapurthala,civic_amenities,Civic Amenities,Not trimmed,1971\Punjab\1971 Kapurthala.pdf,"The Kapurthala volume is Part X-C, District Census Tables, Administrative and Statistics. It does not contain the Part X-A Village and Town Directory pages with Town Directory Statement IV, Statement V, or a tehsil-wise amenities abstract."
Punjab,Punjab,Kapurthala,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Punjab\1971 Kapurthala.pdf,"The Kapurthala volume is Part X-C, District Census Tables, Administrative and Statistics. It does not contain the Part X-A Village and Town Directory pages with Town Directory Statement IV, Statement V, or a tehsil-wise amenities abstract."
Punjab,Punjab,Kapurthala,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Punjab\1971 Kapurthala.pdf,"The Kapurthala volume is Part X-C, District Census Tables, Administrative and Statistics. It does not contain the Part X-A Village and Town Directory pages with Town Directory Statement IV, Statement V, or a tehsil-wise amenities abstract."
Sikkim,Sikkim,Sikkim,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Sikkim\1971 Sikkim.pdf,The Sikkim Village Directory is presented at Block Panchayat level and contains no separate tehsil/taluk-wise amenities abstract equivalent to the requested appendix.
Tamil Nadu,Tamil Nadu,Nilgiris,civic_amenities,Civic Amenities,Not trimmed,1971\Tamil Nadu\1971 Nilgiris.pdf,"This volume is Part X-C, District Census Tables. It does not contain the Part X-A Village and Town Directory pages for the requested statements or taluk amenities appendix."
Tamil Nadu,Tamil Nadu,Nilgiris,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Tamil Nadu\1971 Nilgiris.pdf,"This volume is Part X-C, District Census Tables. It does not contain the Part X-A Village and Town Directory pages for the requested statements or taluk amenities appendix."
Tamil Nadu,Tamil Nadu,Nilgiris,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Tamil Nadu\1971 Nilgiris.pdf,"This volume is Part X-C, District Census Tables. It does not contain the Part X-A Village and Town Directory pages for the requested statements or taluk amenities appendix."
Tamil Nadu,Tamil Nadu,South Arcot,civic_amenities,Civic Amenities,Not trimmed,1971\Tamil Nadu\1971 South Arcot.pdf,"This volume is Part IX-B, Village and Townwise Primary Census Abstract. It does not contain the Part X-A Village and Town Directory pages for the requested statements or taluk amenities appendix."
Tamil Nadu,Tamil Nadu,South Arcot,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\Tamil Nadu\1971 South Arcot.pdf,"This volume is Part IX-B, Village and Townwise Primary Census Abstract. It does not contain the Part X-A Village and Town Directory pages for the requested statements or taluk amenities appendix."
Tamil Nadu,Tamil Nadu,South Arcot,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\Tamil Nadu\1971 South Arcot.pdf,"This volume is Part IX-B, Village and Townwise Primary Census Abstract. It does not contain the Part X-A Village and Town Directory pages for the requested statements or taluk amenities appendix."
West Bengal,West Bengal,Bankura,civic_amenities,Civic Amenities,Not trimmed,1971\West Bengal\1971 Bankura.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Bankura,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\West Bengal\1971 Bankura.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Bankura,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Bankura.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Birbhum,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Birbhum.pdf,"No separate tahsil/tehsil/taluk-wise amenities abstract was located in this Part X-A & B volume; the inspected village amenities pages are per-village tables, not the requested aggregate appendix."
West Bengal,West Bengal,Burdwan,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Burdwan.pdf,"No separate tahsil/tehsil/taluk-wise amenities abstract was located in this Part X-A & B volume; the inspected village amenities pages are per-village tables, not the requested aggregate appendix."
West Bengal,West Bengal,Calcutta,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Calcutta.pdf,"No separate tahsil/tehsil/taluk-wise amenities abstract was located in this Part X-A & B volume; the inspected village amenities pages are per-village tables, not the requested aggregate appendix."
West Bengal,West Bengal,Cooch Behar,civic_amenities,Civic Amenities,Not trimmed,1971\West Bengal\1971 Cooch Behar.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Cooch Behar,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\West Bengal\1971 Cooch Behar.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Cooch Behar,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Cooch Behar.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Darjiling,civic_amenities,Civic Amenities,Not trimmed,1971\West Bengal\1971 Darjiling.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Darjiling,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\West Bengal\1971 Darjiling.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Darjiling,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Darjiling.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Dinajpur,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Dinajpur .pdf,"No separate tahsil/tehsil/taluk-wise amenities abstract was located in this Part X-A & B volume; the inspected village amenities pages are per-village tables, not the requested aggregate appendix."
West Bengal,West Bengal,Haora,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Haora.pdf,"No separate tahsil/tehsil/taluk-wise amenities abstract was located in this Part X-A & B volume; the inspected village amenities pages are per-village tables, not the requested aggregate appendix."
West Bengal,West Bengal,Hugli,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Hugli.pdf,"No separate tahsil/tehsil/taluk-wise amenities abstract was located in this Part X-A & B volume; the inspected village amenities pages are per-village tables, not the requested aggregate appendix."
West Bengal,West Bengal,Jalapiguri,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Jalapiguri.pdf,"No separate tahsil/tehsil/taluk-wise amenities abstract was located in this Part X-A & B volume; the inspected village amenities pages are per-village tables, not the requested aggregate appendix."
West Bengal,West Bengal,Maldah,civic_amenities,Civic Amenities,Not trimmed,1971\West Bengal\1971 Maldah.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Maldah,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\West Bengal\1971 Maldah.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Maldah,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Maldah.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Midnapore,civic_amenities,Civic Amenities,Not trimmed,1971\West Bengal\1971 Midnapore.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Midnapore,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\West Bengal\1971 Midnapore.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Midnapore,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Midnapore.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Murshidabad,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Murshidabad.pdf,"No separate tahsil/tehsil/taluk-wise amenities abstract was located in this Part X-A & B volume; the inspected village amenities pages are per-village tables, not the requested aggregate appendix."
West Bengal,West Bengal,Nadia,civic_amenities,Civic Amenities,Not trimmed,1971\West Bengal\1971 Nadia.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Nadia,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,1971\West Bengal\1971 Nadia.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Nadia,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Nadia.pdf,This is a Part X-C District Census Tables volume and does not contain the Part X-A/B Town Directory Statement IV/V or an equivalent tehsil/taluk amenities appendix; no output was produced.
West Bengal,West Bengal,Purullia,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Purullia.pdf,"No separate tahsil/tehsil/taluk-wise amenities abstract was located in this Part X-A & B volume; the inspected village amenities pages are per-village tables, not the requested aggregate appendix."
West Bengal,West Bengal,Twentyfour Parganas,tehsil_appendix,Tehsil Appendix,Not trimmed,1971\West Bengal\1971 Twentyfour Parganas.pdf,"No separate tahsil/tehsil/taluk-wise amenities abstract was located in this Part X-A & B volume; the inspected village amenities pages are per-village tables, not the requested aggregate appendix."
