state,district,table,status,source,source_filename,volume_type,language_status,source_pages_selected,printed_page_labels,output,reason,flags
Jammu & Kashmir,Anantnag,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Anantnag.pdf,1981 Anantnag.pdf,Village/Town Directory volume,English or bilingual,[128],[null],output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Anantnag_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed page 117; source page 129 begins Statement V.","[""manual_verified""]"
Jammu & Kashmir,Ladakh,medical_educational_amenities,Trimmed,1981/Jammu & Kashmir/1981 Ladakh.pdf,1981 Ladakh.pdf,Village/Town Directory volume,English or bilingual,[73],[null],output/pdf/1981_trimmed/Jammu & Kashmir/mededu/1981_Ladakh_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 57; source page 74 begins Statement VI.","[""manual_verified""]"
Jammu & Kashmir,Ladakh,tehsil_appendix,Trimmed,1981/Jammu & Kashmir/1981 Ladakh.pdf,1981 Ladakh.pdf,Village/Town Directory volume,English or bilingual,"[62, 63]","[""46"", ""47""]",output/pdf/1981_trimmed/Jammu & Kashmir/tehsil appendix/1981_Ladakh_tehsil_appendix.pdf,"Village Directory Appendix I, Tehsil-wise Abstract of Educational, Medical and Other Amenities; source page 64 begins Appendix II.","[""manual_verified""]"
Jammu & Kashmir,Pulwama,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Pulwama.pdf,1981 Pulwama.pdf,Village/Town Directory volume,English or bilingual,[114],[null],output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Pulwama_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed page 96; source page 115 begins Statement V.","[""manual_verified""]"
Jammu & Kashmir,Pulwama,medical_educational_amenities,Trimmed,1981/Jammu & Kashmir/1981 Pulwama.pdf,1981 Pulwama.pdf,Village/Town Directory volume,English or bilingual,[115],"[""97""]",output/pdf/1981_trimmed/Jammu & Kashmir/mededu/1981_Pulwama_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 97; source page 116 begins Statement VI.","[""manual_verified""]"
Jammu & Kashmir,Pulwama,tehsil_appendix,Trimmed,1981/Jammu & Kashmir/1981 Pulwama.pdf,1981 Pulwama.pdf,Village/Town Directory volume,English or bilingual,"[104, 105]","[""86"", ""87""]",output/pdf/1981_trimmed/Jammu & Kashmir/tehsil appendix/1981_Pulwama_tehsil_appendix.pdf,"Village Directory Appendix I, Tehsil-wise Abstract of Educational, Medical and Other Amenities; source page 106 begins Appendix II.","[""manual_verified""]"
Jammu & Kashmir,Punch,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Punch.pdf,1981 Punch.pdf,Village/Town Directory volume,English or bilingual,[71],"[""57""]",output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Punch_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed page 57; source page 72 begins Statement V.","[""manual_verified""]"
Jammu & Kashmir,Punch,medical_educational_amenities,Trimmed,1981/Jammu & Kashmir/1981 Punch.pdf,1981 Punch.pdf,Village/Town Directory volume,English or bilingual,[72],"[""58""]",output/pdf/1981_trimmed/Jammu & Kashmir/mededu/1981_Punch_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 58; source page 73 begins Statement VI.","[""manual_verified""]"
Jammu & Kashmir,Punch,tehsil_appendix,Trimmed,1981/Jammu & Kashmir/1981 Punch.pdf,1981 Punch.pdf,Village/Town Directory volume,English or bilingual,"[60, 61]","[""46"", ""47""]",output/pdf/1981_trimmed/Jammu & Kashmir/tehsil appendix/1981_Punch_tehsil_appendix.pdf,"Village Directory Appendix I, Tehsil-wise Abstract of Educational, Medical and Other Amenities; source page 62 begins Appendix II.","[""manual_verified""]"
Jammu & Kashmir,Rajauri,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Rajauri.pdf,1981 Rajauri.pdf,Village/Town Directory volume,English or bilingual,[103],[null],output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Rajauri_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed page 83; source page 104 begins Statement V.","[""manual_verified""]"
Jammu & Kashmir,Rajauri,medical_educational_amenities,Trimmed,1981/Jammu & Kashmir/1981 Rajauri.pdf,1981 Rajauri.pdf,Village/Town Directory volume,English or bilingual,[104],"[""84""]",output/pdf/1981_trimmed/Jammu & Kashmir/mededu/1981_Rajauri_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 84; source page 105 begins Statement VI.","[""manual_verified""]"
Jammu & Kashmir,Rajauri,tehsil_appendix,Trimmed,1981/Jammu & Kashmir/1981 Rajauri.pdf,1981 Rajauri.pdf,Village/Town Directory volume,English or bilingual,"[90, 91]","[""70"", ""71""]",output/pdf/1981_trimmed/Jammu & Kashmir/tehsil appendix/1981_Rajauri_tehsil_appendix.pdf,"Village Directory Appendix I, Tehsil-wise Abstract of Educational, Medical and Other Amenities; source page 92 begins Appendix II.","[""manual_verified""]"
Jammu & Kashmir,Srinagar,civic_amenities,Trimmed,1981/Jammu & Kashmir/1981 Srinagar.pdf,1981 Srinagar.pdf,Village/Town Directory volume,English or bilingual,"[85, 86]","[""65"", ""66""]",output/pdf/1981_trimmed/Jammu & Kashmir/civic amenities/1981_Srinagar_civic_amenities.pdf,"Town Directory Statement IV Civic and Other Amenities, printed pages 65-66; source page 87 begins Statement V.","[""manual_verified""]"
Jammu & Kashmir,Srinagar,medical_educational_amenities,Trimmed,1981/Jammu & Kashmir/1981 Srinagar.pdf,1981 Srinagar.pdf,Village/Town Directory volume,English or bilingual,[87],"[""67""]",output/pdf/1981_trimmed/Jammu & Kashmir/mededu/1981_Srinagar_medical_educational_amenities.pdf,"Town Directory Statement V Medical, Educational, Recreational and Cultural Facilities, printed page 67; source page 88 begins Statement VI.","[""manual_verified""]"
Jammu & Kashmir,Srinagar,tehsil_appendix,Trimmed,1981/Jammu & Kashmir/1981 Srinagar.pdf,1981 Srinagar.pdf,Village/Town Directory volume,English or bilingual,"[76, 77]","[""56"", ""57""]",output/pdf/1981_trimmed/Jammu & Kashmir/tehsil appendix/1981_Srinagar_tehsil_appendix.pdf,"Village Directory Appendix I, Tehsil-wise Abstract of Educational, Medical and Other Amenities; source page 78 begins Appendix II.","[""manual_verified""]"
