sl_no,sl_no_flag,tahsil_name,tahsil_name_flag,junior_basic_villages,junior_basic_villages_flag,junior_basic_schools,junior_basic_schools_flag,senior_basic_villages,senior_basic_villages_flag,senior_basic_schools,senior_basic_schools_flag,higher_secondary_villages,higher_secondary_villages_flag,higher_secondary_schools,higher_secondary_schools_flag,college_villages,college_villages_flag,colleges,colleges_flag,other_edu_villages,other_edu_villages_flag,other_edu_institutions,other_edu_institutions_flag,hospital_villages,hospital_villages_flag,hospitals,hospitals_flag,dispensary_villages,dispensary_villages_flag,dispensaries,dispensaries_flag,mcw_villages,mcw_villages_flag,mcw_centres,mcw_centres_flag,health_centre_villages,health_centre_villages_flag,health_centres,health_centres_flag,family_planning_villages,family_planning_villages_flag,family_planning_centres,family_planning_centres_flag,other_med_villages,other_med_villages_flag,other_med_institutions,other_med_institutions_flag,power_available_villages,power_available_villages_flag,power_not_available_villages,power_not_available_villages_flag,tap_water_villages,tap_water_villages_flag,hand_pipe_villages,hand_pipe_villages_flag,well_villages,well_villages_flag,tank_villages,tank_villages_flag,river_villages,river_villages_flag,fountain_villages,fountain_villages_flag,canal_villages,canal_villages_flag,water_fall_villages,water_fall_villages_flag,lake_villages,lake_villages_flag,tube_well_villages,tube_well_villages_flag,other_water_villages,other_water_villages_flag,no_water_villages,no_water_villages_flag,pucca_road_villages,pucca_road_villages_flag,kachcha_road_villages,kachcha_road_villages_flag,pucca_kachcha_road_villages,pucca_kachcha_road_villages_flag,other_road_villages,other_road_villages_flag,post_office_villages,post_office_villages_flag,post_offices,post_offices_flag,telegraph_office_villages,telegraph_office_villages_flag,telegraph_offices,telegraph_offices_flag,post_telegraph_villages,post_telegraph_villages_flag,post_telegraph_offices,post_telegraph_offices_flag,telephone_villages,telephone_villages_flag,telephones,telephones_flag,row_type,reference_target,requires_review,row_index,pdf_id,district,state,year,format_id,table_id,source_pdf,source_pdf_sha256,source_page_start,source_page_end,anchor_printed_page,continuation_printed_page,metadata_workbook,metadata_workbook_sha256,extracted_at
3,,Iglas,,90,,109,,19,,21,,6,,7,,...,,...,,...,,...,,4,,4,,5,,5,,4,,4,,...,,...,,4,,4,,...,,...,,85,,104,,...,,68,,186,,...,,...,,...,,...,,...,,...,,7,,...,,...,,48,,47,,4,,15,,50,,30,,...,,...,,1,,1,,...,,...,,ORDINARY,,False,2,aligarh_tehsil_1971,Aligarh,Uttar Pradesh,1971,format_003,aligarh_tehsil_001,aligarh_tehsil_1971.pdf,9d257a3146db5a920d585bb002c597b4edad0d3ed903c6a35a706b6ea574ad8d,214,215,196,197,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:55.148544+00:00
4,,Hathras,,145,,157,,32,,34,,11,,11,,...,,...,,...,,...,,1,,1,,2,,2,,2,,2,,...,,...,,...,,...,,...,,...,,145,,233,,...,,48,,364,,...,,...,,...,,...,,...,,...,,28,,2,,...,,85,,10,,1,,32,,38,,38,,...,,...,,2,,2,,...,,...,,ORDINARY,,False,3,aligarh_tehsil_1971,Aligarh,Uttar Pradesh,1971,format_003,aligarh_tehsil_001,aligarh_tehsil_1971.pdf,9d257a3146db5a920d585bb002c597b4edad0d3ed903c6a35a706b6ea574ad8d,214,215,196,197,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:55.148544+00:00
5,,Atrauli,,137,,146,,33,,35,,3,,3,,...,,...,,...,,...,,5,,5,,4,,4,,4,,4,,...,,...,,4,,4,,...,,...,,192,,117,,...,,235,,291,,...,,...,,...,,...,,...,,...,,2,,...,,...,,51,,71,,6,,61,,60,,60,,...,,...,,3,,3,,1,,1,,ORDINARY,,False,4,aligarh_tehsil_1971,Aligarh,Uttar Pradesh,1971,format_003,aligarh_tehsil_001,aligarh_tehsil_1971.pdf,9d257a3146db5a920d585bb002c597b4edad0d3ed903c6a35a706b6ea574ad8d,214,215,196,197,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:55.148544+00:00
6,,Sikandra Rao,,152,,184,,33,,35,,9,,10,,...,,...,,...,,...,,4,,4,,5,,5,,4,,4,,...,,...,,4,,4,,...,,...,,26,,227,,...,,178,,247,,...,,...,,...,,...,,1,,...,,26,,5,,...,,84,,19,,1,,74,,44,,44,,...,,...,,4,,4,,...,,...,,ORDINARY,,False,5,aligarh_tehsil_1971,Aligarh,Uttar Pradesh,1971,format_003,aligarh_tehsil_001,aligarh_tehsil_1971.pdf,9d257a3146db5a920d585bb002c597b4edad0d3ed903c6a35a706b6ea574ad8d,214,215,196,197,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:55.148544+00:00
,,District Total (Rural),,812,,958,,185,,195,,52,,54,,1,,1,,...,,...,,28,,28,,17,,17,,19,,19,,3,,3,,17,,17,,...,,...,,748,,"1,021",,...,,888,,370,,1,,...,,...,,1,,...,,...,,98,,12,,...,,428,,186,,13,,246,,318,,318,,...,,...,,13,,13,,4,,4,,TOTAL,,False,6,aligarh_tehsil_1971,Aligarh,Uttar Pradesh,1971,format_003,aligarh_tehsil_001,aligarh_tehsil_1971.pdf,9d257a3146db5a920d585bb002c597b4edad0d3ed903c6a35a706b6ea574ad8d,214,215,196,197,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:08:55.148544+00:00
1,,Sirathu,,83,,88,,15,,16,,2,,2,,1,,1,,1,,2,,5,,5,,18,,18,,4,,4,,1,,1,,2,,2,,3,,3,,30,,265,,—,,2,,249,,—,,43,,—,,—,,—,,—,,—,,—,,—,,75,,117,,15,,17,,24,,24,,—,,—,,1,,1,,—,,—,,ORDINARY,,False,0,allahabad_tehsil_1971,Allahabad,Uttar Pradesh,1971,format_003,allahabad_tehsil_001,allahabad_tehsil_1971.pdf,4e3001737237d019e0fe3b54a3e19ae30c00f5899423f04ae6ded4706b13e7ee,413,414,394,395,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:24.989126+00:00
2,,Manjhanpur,,104,,105,,12,,12,,5,,5,,—,,—,,—,,—,,3,,3,,2,,2,,—,,—,,1,,1,,1,,1,,—,,—,,1,,315,,—,,—,,265,,—,,3,,—,,—,,—,,—,,—,,—,,—,,75,,104,,17,,—,,23,,23,,—,,—,,1,,1,,—,,—,,ORDINARY,,False,1,allahabad_tehsil_1971,Allahabad,Uttar Pradesh,1971,format_003,allahabad_tehsil_001,allahabad_tehsil_1971.pdf,4e3001737237d019e0fe3b54a3e19ae30c00f5899423f04ae6ded4706b13e7ee,413,414,394,395,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:24.989126+00:00
3,,Chail,,122,,124,,14,,14,,8,,9,,—,,—,,—,,—,,7,,7,,10,,10,,3,,3,,—,,—,,—,,—,,—,,—,,10,,358,,1,,2,,308,,—,,32,,—,,—,,—,,—,,2,,—,,—,,104,,193,,8,,6,,27,,27,,—,,—,,2,,2,,—,,—,,ORDINARY,,False,2,allahabad_tehsil_1971,Allahabad,Uttar Pradesh,1971,format_003,allahabad_tehsil_001,allahabad_tehsil_1971.pdf,4e3001737237d019e0fe3b54a3e19ae30c00f5899423f04ae6ded4706b13e7ee,413,414,394,395,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:24.989126+00:00
4,,Soraon,,154,,163,,18,,18,,12,,12,,—,,—,,1,,1,,16,,16,,14,,15,,8,,8,,1,,1,,3,,3,,1,,1,,56,,400,,1,,1,,408,,3,,8,,—,,7,,—,,—,,7,,—,,—,,88,,213,,49,,179,,24,,24,,—,,—,,4,,4,,1,,1,,ORDINARY,,False,3,allahabad_tehsil_1971,Allahabad,Uttar Pradesh,1971,format_003,allahabad_tehsil_001,allahabad_tehsil_1971.pdf,4e3001737237d019e0fe3b54a3e19ae30c00f5899423f04ae6ded4706b13e7ee,413,414,394,395,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:24.989126+00:00
5,,Phulpur,,142,,150,,12,,12,,10,,10,,1,,1,,—,,—,,2,,2,,1,,1,,1,,1,,—,,—,,1,,1,,—,,—,,191,,377,,—,,1,,502,,22,,29,,—,,28,,—,,—,,193,,—,,—,,110,,295,,11,,48,,31,,31,,—,,—,,1,,1,,—,,—,,ORDINARY,,False,4,allahabad_tehsil_1971,Allahabad,Uttar Pradesh,1971,format_003,allahabad_tehsil_001,allahabad_tehsil_1971.pdf,4e3001737237d019e0fe3b54a3e19ae30c00f5899423f04ae6ded4706b13e7ee,413,414,394,395,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:24.989126+00:00
6,,Handia,,157,,158,,25,,25,,4,,4,,—,,—,,1,,1,,12,,12,,7,,7,,3,,3,,1,,1,,2,,2,,1,,1,,323,,309,,—,,3,,608,,123,,14,,—,,—,,—,,—,,1,,—,,—,,26,,282,,33,,64,,29,,29,,—,,—,,3,,3,,2,,2,,ORDINARY,,False,5,allahabad_tehsil_1971,Allahabad,Uttar Pradesh,1971,format_003,allahabad_tehsil_001,allahabad_tehsil_1971.pdf,4e3001737237d019e0fe3b54a3e19ae30c00f5899423f04ae6ded4706b13e7ee,413,414,394,395,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:24.989126+00:00
7,,Karchhana,,190,,197,,21,,21,,10,,12,,—,,—,,1,,1,,10,,12,,5,,5,,4,,4,,—,,—,,3,,3,,—,,—,,46,,628,,—,,38,,571,,7,,92,,—,,—,,—,,—,,1,,—,,—,,204,,133,,28,,163,,34,,34,,—,,—,,8,,8,,1,,1,,ORDINARY,,False,6,allahabad_tehsil_1971,Allahabad,Uttar Pradesh,1971,format_003,allahabad_tehsil_001,allahabad_tehsil_1971.pdf,4e3001737237d019e0fe3b54a3e19ae30c00f5899423f04ae6ded4706b13e7ee,413,414,394,395,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:24.989126+00:00
8,,Meja,,191,,200,,13,,13,,5,,5,,1,,1,,1,,1,,6,,6,,6,,6,,3,,3,,1,,1,,1,,1,,—,,—,,48,,631,,—,,19,,596,,69,,102,,—,,20,,—,,—,,5,,1,,—,,172,,153,,21,,104,,26,,26,,—,,—,,3,,3,,1,,1,,ORDINARY,,False,7,allahabad_tehsil_1971,Allahabad,Uttar Pradesh,1971,format_003,allahabad_tehsil_001,allahabad_tehsil_1971.pdf,4e3001737237d019e0fe3b54a3e19ae30c00f5899423f04ae6ded4706b13e7ee,413,414,394,395,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:24.989126+00:00
,,DISTRICT TOTAL,,"1,143",,"1,185",,130,,131,,57,,59,,2,,2,,1,,1,,22,,22,,22,,22,,8,,8,,4,,4,,12,,12,,5,,5,,299,,"1,320",,...,,717,,"1,522",,8,,2,,—,,6,,—,,36,,209,,1,,—,,425,,472,,56,,231,,185,,185,,—,,—,,9,,9,,7,,7,,TOTAL,,False,8,allahabad_tehsil_1971,Allahabad,Uttar Pradesh,1971,format_003,allahabad_tehsil_001,allahabad_tehsil_1971.pdf,4e3001737237d019e0fe3b54a3e19ae30c00f5899423f04ae6ded4706b13e7ee,413,414,394,395,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:24.989126+00:00
1,,Almora,,470,,486,,60,,61,,15,,15,,...,,...,,1,,1,,14,,14,,12,,12,,16,,16,,4,,4,,6,,6,,...,,...,,11,,"1,816",,27,,...,,3,,...,,285,,585,,13,,308,,...,,...,,"1,171",,...,,231,,"1,216",,33,,16,,129,,129,,...,,...,,3,,3,,1,,1,,ORDINARY,,False,0,almora_tehsil_1971,Almora,Uttar Pradesh,1971,format_003,almora_tehsil_001,almora_tehsil_1971.pdf,c356c5b21a92d289310523cd9d0ebac3d79f42f33d7d8b92ff6f1ff1d732f99f,329,330,318,319,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:07.828567+00:00
2,,Ranikhet,,309,,309,,23,,23,,18,,18,,...,,...,,...,,...,,6,,6,,11,,11,,2,,2,,2,,2,,5,,5,,...,,...,,2,,"1,310",,46,,...,,...,,...,,30,,403,,13,,89,,...,,...,,72,,...,,413,,844,,4,,...,,85,,85,,1,,1,,...,,...,,...,,...,,ORDINARY,,False,1,almora_tehsil_1971,Almora,Uttar Pradesh,1971,format_003,almora_tehsil_001,almora_tehsil_1971.pdf,c356c5b21a92d289310523cd9d0ebac3d79f42f33d7d8b92ff6f1ff1d732f99f,329,330,318,319,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:07.828567+00:00
3,,Champawat,,137,,137,,11,,12,,3,,3,,...,,...,,...,,...,,4,,4,,2,,2,,10,,10,,2,,2,,4,,4,,...,,...,,6,,650,,17,,...,,...,,...,,5,,208,,5,,...,,...,,...,,409,,...,,77,,535,,...,,...,,23,,23,,...,,...,,1,,1,,...,,...,,ORDINARY,,False,2,almora_tehsil_1971,Almora,Uttar Pradesh,1971,format_003,almora_tehsil_001,almora_tehsil_1971.pdf,c356c5b21a92d289310523cd9d0ebac3d79f42f33d7d8b92ff6f1ff1d732f99f,329,330,318,319,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:07.828567+00:00
,,District Total (Rural),,916,,932,,94,,96,,36,,36,,...,,...,,1,,1,,24,,24,,25,,25,,28,,28,,8,,8,,15,,15,,...,,...,,19,,"3,776",,90,,...,,3,,...,,320,,"1,196",,31,,397,,...,,...,,"2,309",,...,,721,,"2,595",,37,,16,,237,,237,,1,,1,,4,,4,,1,,1,,TOTAL,,False,3,almora_tehsil_1971,Almora,Uttar Pradesh,1971,format_003,almora_tehsil_001,almora_tehsil_1971.pdf,c356c5b21a92d289310523cd9d0ebac3d79f42f33d7d8b92ff6f1ff1d732f99f,329,330,318,319,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:07.828567+00:00
1,,Sagri,,166,,169,,11,,11,,14,,14,,...,,...,,2,,2,,2,,2,,3,,3,,2,,2,,...,,...,,1,,1,,...,,...,,140,,833,,7,,17,,915,,...,,4,,...,,...,,...,,...,,7,,68,,...,,237,,612,,8,,...,,46,,46,,...,,...,,1,,1,,...,,...,,ORDINARY,,False,0,azamgarh_tehsil_1971,Azamgarh,Uttar Pradesh,1971,format_003,azamgarh_tehsil_001,azamgarh_tehsil_1971.pdf,962dfbcb3f69b33cc4ac0d895fdc6687c25cff203dffd505fad36c8be6d8b085,549,550,532,533,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:19.100331+00:00
2,,Ghosi,,221,,221,,28,,28,,18,,18,,2,,2,,1,,1,,10,,10,,3,,3,,5,,5,,2,,2,,6,,6,,1,,1,,272,,575,,...,,307,,796,,3,,4,,...,,2,,...,,...,,4,,13,,...,,162,,292,,49,,34,,62,,62,,...,,...,,2,,2,,1,,1,,ORDINARY,,False,1,azamgarh_tehsil_1971,Azamgarh,Uttar Pradesh,1971,format_003,azamgarh_tehsil_001,azamgarh_tehsil_1971.pdf,962dfbcb3f69b33cc4ac0d895fdc6687c25cff203dffd505fad36c8be6d8b085,549,550,532,533,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-29T15:09:19.100331+00:00
